Specialized Dolce Road Bike-Womens!,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-dolce-road-bike/6925342605.html,$300,San Diego,2019-07-29 15:37
Specialized Allez bike,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-allez-bike/6945158027.html,$600,N/A,2019-07-29 14:34
2012 Specialized CruX 56cm,https://sandiego.craigslist.org/csd/bik/d/san-diego-2012-specialized-crux-56cm/6945146030.html,$700,Clairemont,2019-07-29 14:19
Specialized Roubaix Expert road bike,https://sandiego.craigslist.org/esd/bik/d/santee-specialized-roubaix-expert-road/6945132253.html,$975,santee,2019-07-29 14:04
2015 Specialized Carbon 29er Camber Evo Expert,https://sandiego.craigslist.org/nsd/bik/d/cardiff-by-the-sea-2015-specialized/6939503920.html,$2225,N/A,2019-07-29 09:59
1988 Specialized Sirrus Road Bike,https://sandiego.craigslist.org/csd/bik/d/san-diego-1988-specialized-sirrus-road/6944896840.html,$400,South Park,2019-07-29 09:58
Specialized Road Bike 12-speed o.b.o,https://sandiego.craigslist.org/csd/bik/d/chula-vista-specialized-road-bike-12/6942147805.html,$250,Chula Vista,2019-07-29 09:43
Specialized Stumpjumper Expert Carbon 29,https://sandiego.craigslist.org/nsd/bik/d/san-diego-specialized-stumpjumper/6933319817.html,$1450,N/A,2019-07-28 22:23
Specialized Enduro Frame,https://sandiego.craigslist.org/nsd/bik/d/carlsbad-specialized-enduro-frame/6944456808.html,$350,Carlsbad,2019-07-28 16:22
Specialized Epic FSR mountain bike,https://sandiego.craigslist.org/csd/bik/d/san-diego-specialized-epic-fsr-mountain/6944453055.html,$500,N/A,2019-07-28 16:15
"Two Matching Specialized Tarmac SL Expert 56 cm Carbon bikes, each",https://sandiego.craigslist.org/nsd/bik/d/carlsbad-two-matching-specialized/6944256339.html,$1200,Carlsbad / Oceanside,2019-07-28 11:21
2016 Specialized Ruby Expert Disc UDi2 size 48cm,https://sandiego.craigslist.org/nsd/bik/d/vista-2016-specialized-ruby-expert-disc/6943962698.html,$2500,Vista/Carlsbad,2019-07-27 20:56
"Full Carbon Fiber 54 Specialized Tarmac Road Bike w/ Dura-Ace, FSA SLK",https://sandiego.craigslist.org/nsd/bik/d/oceanside-full-carbon-fiber-54/6943511453.html,$900,Oceanside / Carlsbad,2019-07-27 09:16
Specialized Hybrid Bicycles,https://sandiego.craigslist.org/nsd/bik/d/carlsbad-specialized-hybrid-bicycles/6943412905.html,$250,Carlsbad,2019-07-27 07:14
FUJI SST 1.1 Carbon Top Class Road Bike Medium Size Carbon Oval Wheels,https://sandiego.craigslist.org/nsd/bik/d/la-jolla-fuji-sst-11-carbon-top-class/6933341565.html,$1990,La Jolla,2019-08-03 14:18
"Electric Cargo Bike Dual Battery, Electric Blue, Belt Drive, Enviolo",https://sandiego.craigslist.org/nsd/bik/d/cardiff-by-the-sea-electric-cargo-bike/6943982257.html,$2100,N/A,2019-08-03 13:01
Electric Fat Mountain Bike Gates Carbon Belt Drive,https://sandiego.craigslist.org/nsd/bik/d/cardiff-by-the-sea-electric-fat/6943982114.html,$2300,N/A,2019-08-03 12:59
